"name","address","phone","rating","number_of_reviews"
"Dhaliwal Hospital","3, Batala Rd, Shivala Colony, Amritsar, Punjab 143001, India","077106 77002",4.7,508
"Demat9","3, Ann Kay Victory Tower M.M.Malvyia Road, INA Colony, Amritsar, Punjab 143001, India","093104 33649",2,1
"ARORA DENTAL CLINIC","C-8,, Dhab Khatikan,, near Hindu College Amritsar, Near Moti Mahal, Lohgarh Gate, Katra Ahluwalia, Amritsar, Punjab 143006, India","098142 55510",4.7,38
"Hundal Dental Traders-Dental Chair, Extraction Instruments & Autoclave Equipment’s Dealers | Disposables Supplier in Amritsar","Doctors Complex, children Hospital, Majitha Rd, opp. Govt. Eye & ENT Hospital & Naresh Grover, near Gupta Bakers & Dr Puri Lab, Opp. ENT Hospital, Medical Enclave, Amritsar, Punjab 143001, India","098038 80555",5,58
"PARVEEN SAINI ROBOTICS ORTHOPAEDIC BEST KNEE , HIP& SHOULDER JOINT REPLACEMENT ADVANCED CENTRE AND DENTAL ORTHODONTIC CENTRE","70-C, Taylor Road, Chanderpuri, Near, Lawrence Road, opposite Gandhi grounds, near heritage club, INA Colony, Amritsar, Punjab 143001, India","0183 221 0682",4.8,126
"Dream Smiles Dental & Skin Care","Mall Rd, Kennedy Avenue, Amritsar, Punjab 143001, India","N/A",4.7,37
"Dentista Dental Clinic","Pushpa Market, Lawrence Road Ext, opp. Axis Bank, near Tare Di Hatt, Amritsar, Punjab 143001, India","081467 58164",4.5,2
"Sahib Dental Clinic","B -48 Ranjit Avenue Near Shemrock Public School, B - Block, Ranjit Avenue, Amritsar, Punjab 143001, India","075892 06060",4.8,49
"Clove Dental","Pal Tower, Lawrence Road, near Nayyar Hospital, Shastri Nagar, Extn, Amritsar, Punjab 143001, India","011 6927 1067",4.9,586
"Smile N Shine Super Speaciality Dental Clinic","opposite gali teliya wali, Sewak Mandi, Nimak Mandi, Amritsar, Amritsar Cantt., Punjab 143001, India","085918 64749",4.9,34
"Dr manjul mehra Kashvi Dental Care","536, opp. mehak park, Gumtala Sub Urban, E-Block, Ranjit Avenue, Amritsar, Punjab 143001, India","N/A",4.8,9
"Dr. Simar's Dental & Oral Care Clinic","Ram Talai Rd, Main Bazaar, New Golden Avenue, Sharifpura, Amritsar, Punjab 143001, India","N/A",4.8,133
"Dukhniwaran Dental Clinic","Flat shop 33, Ranjit avenue B block, opposite to HDFC atm in, Gumtala Sub Urban, A - Block, market, Amritsar, Punjab 143001, India","085289 35037",4.9,315
"Clove Dental","SCO- 75, above Kafeine Cafe, near Mahindra Showroom, Gumtala Sub Urban, D - Block, Ranjit Avenue, Amritsar, Punjab 143001, India","095992 16884",4.9,534
"Dental Joy Dental Clinic","883, Circular Rd, Medical Enclave, Amritsar, Punjab 143001, India","073555 90315",5,103
"S P Arora and Co","Mohanlal & Sons, Majitha Mandi, Shastri Market, Shastri Market, Near Bhandari Bridge, Guru Arjun Nagar, Amritsar, Punjab 143001, India","0183 253 3245","No rating available","No reviews"
"Dr. Puneet Kumar","INA Colony, Amritsar, Punjab 143001, India","N/A","No rating available","No reviews"
"Parekh Dental Clinic","#208, Queens Rd, near Crystal Chowk, Crystal Chowk, INA Colony, Amritsar, Punjab 143001, India","098768 83599",4.8,78
"SHAKTI ORTHO","JVJF+HXW, Chitra Talkies Rd, Hall Gate, Hall Bazar, Katra Ahluwalia, Amritsar, Punjab 143001, India","094170 17032",5,1
"Smile dental spa","172, Katra Moti Ram, Hathi Gate, Hall Gate, Hathi Gate, Katra Ahluwalia, Amritsar, Punjab 143001, India","098762 00359",4.9,34
"Om Enterprises","JVHF+HVM, Kucha Dai Khana, Katra Sher Singh, Katra Ahluwalia, Amritsar, Punjab 143006, India","099145 29536","No rating available","No reviews"
"Dr.Amit Sharma","Hathi Gate, Katra Ahluwalia, Amritsar, Punjab 143006, India","N/A","No rating available","No reviews"
"Ram Parkash Ashok Kumar","JVHH+R4X, Chownk, adjacent to Gupta Cloth House, Katra Bhagian, Hall Bazar, Ram Bagh, Amritsar, Punjab 143001, India","0183 254 1268","No rating available","No reviews"
"Dr.Sushil Gupta","Hall Bazar, Katra Ahluwalia, Amritsar, Punjab 143006, India","N/A","No rating available","No reviews"
"Dr. YUKTI GUPTA","DENTAL STUDIO, The Mall, Adult and Paediatric Dentistry,, Basement DR VED GUPTA HOSPITAL, 355, MALL ROAD, Adjoining Govt. Girls School,, AMRITSAR, 117-A, White Avenue, Amritsar, Punjab 143001, India","N/A",5,5
"Dr. HIRA LAL KHANNA","Katra Parda, Katra Ahluwalia, Amritsar, Punjab 143006, India","N/A","No rating available","No reviews"
"Dr. Om Parkash Dental","The Mall, 117-A, beside omaxe novelty mall, White Avenue, Amritsar, Punjab 143001, India","080546 12345",4.9,556
"Gupta Dental Care","Nanak building, Lawrence Road, opposite Nehru shopping complex, White Avenue, Amritsar, Punjab 143001, India","081461 96779",4.8,5
